"","...1","...2","X","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","Abundance_GBR","Abundance_world","Growth_form_typical","Wave_exposure_preference","Growth_form_Wallace","MeanPCcover","ReefArea_Range","Depth_lower","Depth_upper","Oocyte_size_at_maturity","Polyp_fecundity","Polyps_per_area","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_rate","Colony_area","Size_at_maturity","Eggs_per_area","Colony_surface_area","fecundity","Colony_fecundity","coralcover","IndoPacific_fecundity","Genus","GrowthForm"
"73",73,78,78,"Alveopora allingi","columnar","uncommon","Acroporidae","Poritidae",NA,"common","rare","branching_closed","protected",NA,0.01,226664,20,5,392.527127344877,6.035906,49.9139047619047,134.906364333334,1.6,1.3,42.296985350124,791.443062631809,37.3760376856,380,4.97750000000001,301.275637235809,238442.513030259,2045346.79291108,6162131584025038848,"Alveopora","Other"
"74",74,79,79,"Alveopora gigas","columnar","uncommon","Acroporidae","Poritidae","spawner","uncommon","uncommon","branching_closed","broad",NA,0.083,63022,15,5,412.843513278388,7.117101,66.8363333333334,205.264811054153,2.5,2.1,48.7569524605886,673.34433071183,33.606713782,380,4.97750000000001,475.680934803,320297.060677304,16976378.381162,80753395379205799936,"Alveopora","Other"
"75",75,80,80,"Alveopora marionensis","submassive","rare","Acroporidae","Poritidae",NA,"common","rare","massive","broad",NA,0.01,164312,15,5,461.667721611722,7.844655,70.4246666666667,195.824171124759,2.3,2.1,61.4382944479352,808.314310048948,29.207828972,380,4.97750000000001,552.45721349,446559.071353734,2045346.79291108,11299665898323632128,"Alveopora","Other"
"76",76,81,81,"Alveopora spongiosa","columnar","uncommon","Acroporidae","Poritidae",NA,"uncommon","uncommon","massive","broad",NA,0.016,235335,30,5,392.107993648337,6.14532266666667,22.0709047619047,100,2.5,1.1,31.1574224922991,867.363676008937,35.2659581576,380,4.97750000000001,135.632831307174,117642.991150091,3272554.86865773,4438658824441248768,"Alveopora","Other"
"77",77,82,82,"Anacropora forbesi","branching_closed","uncommon","Acroporidae","Acroporidae",NA,"uncommon","common","massive","broad",NA,0.307,191909,15,2,334.702178096423,6.82634933333333,68.7933333333334,269.400931840683,13.9,7.8,24.5284581167632,656.47308329469,36.8825314784,380,4.97750000000001,469.607325137778,308284.568670969,62792146.5423702,2.94876519774218e+20,"Anacropora","Branching"
"78",78,83,83,"Anacropora matthai","branching_closed","rare","Acroporidae","Acroporidae",NA,"uncommon","rare","laminar","exposed",NA,0.068,124834,45,2,320.795175400045,10.0528386666667,63.6383333333334,435.497996509114,25,15,21.1852710972015,732.393696671819,35.5807386108,380,4.97750000000001,639.745898015558,468545.863178247,13908358.1917954,88978151013321916416,"Anacropora","Branching"
"79",79,84,84,"Anacropora puertogalerae","branching_closed","uncommon","Acroporidae","Acroporidae","spawner","common","common","massive","broad",NA,0.023,163179,30,5,430.364654151404,8.66074599999999,43.6966666666667,176.583509338348,11.9,8.1,65.7632780438736,901.106170843217,35.2579166228,380,4.97750000000001,378.445731046667,341019.783575424,4704297.62369549,17803213532605380608,"Anacropora","Branching"
"80",80,85,85,"Astreopora cucullata","massive","rare","Acroporidae","Acroporidae",NA,"common","rare","massive","broad",NA,0.054,188051,20,0,366.44892287559,7.241729,74.5126666666667,259.26207332178,6,3.5,33.130410194567,639.60183587755,36.3463542164,380,4.97750000000001,539.600539067334,345129.495427982,11044872.6817198,59598192529860755456,"Astreopora","Massive"
"81",81,86,86,"Astreopora gracilis","massive","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","branching_closed","protected",NA,0.058,201952,40,2,414,6.403526,42.8189047619047,222.366122939344,14.3,8.6,24.3277738794,799.878686340379,38.2269954008,380,4.97750000000001,274.191969934381,219320.312716193,11863011.3988843,3.2527424648141e+19,"Astreopora","Massive"
"82",82,87,87,"Astreopora listeri","massive","common","Acroporidae","Acroporidae","spawner","uncommon","common","massive","protected",NA,0.047,213571,5,1,340,7.78342566666667,68.0946666666667,240.373545803578,6.1,2.6,24.4700837124651,639.60183587755,36.8825314784,380,4.97750000000001,530.009776296445,338995.225952256,9613129.92668208,50950528419494297600,"Astreopora","Massive"
"83",83,88,88,"Astreopora moretonensis","laminar","rare","Acroporidae","Acroporidae",NA,"common","common","massive","protected",NA,0.03,73486,30,5,325.001899976657,8.001638,51.4163333333333,372.638153916522,50,75,33.9570753662942,791.443062631809,36.431696326,380,4.97750000000001,411.414886620666,325611.457879379,6136040.37873325,25244583567163686912,"Astreopora","Laminar"
"84",84,89,89,"Astreopora myriophthalma","massive","common","Acroporidae","Acroporidae","spawner","common","common","massive","protected",NA,0.122,240635,30,10,350.528029304029,7.45090133333334,82.2646666666667,340.674985886508,236,3.4,2.43239285714286,707.08682554611,28.314200202,380,4.97750000000001,612.94591455289,433405.98095266,24953230.8735152,1.52949809188162e+20,"Astreopora","Massive"
"85",85,90,90,"Astreopora ocellata","massive","rare","Acroporidae","Acroporidae",NA,"rare","rare","encrusting","protected",NA,0.079,193925,27.5,4.5,291.236073352411,4.91459766666667,32.5476666666667,204.778078126129,284,1.4,40.0368430884602,799.878686340379,36.9252025332,380,4.97750000000001,159.958686655445,127947.544150689,16158239.6639975,25846507953169588224,"Astreopora","Massive"
"86",86,91,91,"Caulastraea curvata",NA,NA,NA,"Faviidae",NA,"uncommon","common","columnar","protected",NA,0.01,169401,54,5.66666666666667,521.143944444445,11.6947223333333,36.73,100,81,1.6,63.8213205541125,993.898031637485,31.2937838956,380,4.97750000000001,429.547151303332,426926.068175871,2045346.79291108,8785728883223605248,"Caulastraea","Other"
"87",87,92,92,"Caulastraea tumida",NA,NA,NA,"Faviidae",NA,"uncommon","common","massive","broad",NA,0.01,182154,67,1,508.78264379085,8.214344,43.4426666666667,100,4.5,1.5,49.3875391078825,875.799299717507,33.4465344784,380,4.97750000000001,356.853008277334,312531.614751375,2045346.79291108,7298881560207162368,"Caulastraea","Other"
"88",88,93,93,"Coeloseris mayeri","massive","common","Agariciidae","Agariciidae",NA,"uncommon","common","massive","protected",NA,0.348,208830,20,3,368.500201447618,6.549376,59.4679047619048,103.996422638894,2.2,1.6,35.0707175896698,749.264944088959,40.0649655304,380,4.97750000000001,389.477668217905,291821.963301187,71178068.3933056,2.77222681060792e+20,"Coeloseris","Massive"
"89",89,94,94,"Coscinaraea columna","massive","common","Coscinaraeidae","Siderastreidae","spawner","uncommon","common","massive","protected",NA,0.107,243523,73,18.3333333333333,453.21630952381,7.63066233333334,88.9872380952382,291.93106331534,2.8,1.4,14.4907736151803,740.829320380389,28.5009674908,380,4.97750000000001,679.0315658807,503046.49346823,21885210.6841486,1.48607488804864e+20,"Coscinaraea","Massive"
"90",90,95,95,"Coscinaraea crassa","encrusting","rare","Coscinaraeidae","Siderastreidae",NA,"common","rare","massive","protected",NA,0.08,153896,31.6666666666667,3,491.48296460892,9.12366499999999,43.899,157.160523926288,1.9,7,53.7667824603068,842.056804883228,34.2282331536,380,4.97750000000001,400.519769835,337260.397679826,16362774.3432887,65536146138360332288,"Coscinaraea","Encrusting"
"91",91,96,96,"Coscinaraea exesa","columnar","common","Coscinaraeidae","Siderastreidae",NA,"common","common","laminar","protected",NA,0.159,190246,20,0,371.255769945187,7.23341433333333,76.6976666666667,252.166939823809,2.7,8.8,27.7784313188541,639.60183587755,37.290695576,380,4.97750000000001,554.786001399889,354842.145014534,32521014.0072862,1.80422033225721e+20,"Coscinaraea","Other"
"92",92,97,97,"Coscinaraea monile","massive","common","Coscinaraeidae","Siderastreidae",NA,NA,"uncommon","massive","broad",NA,0.05,130299,50,2,385.270415560293,10.0281283333333,44.7783333333333,218.42020740582,2.4,3.65931080091375,35.8334738631913,816.749933757518,38.8565563072,380,4.97750000000001,449.042873219443,366755.736956265,10226733.9645554,45922420030948220928,"Coscinaraea","Massive"
"93",93,98,98,"Ctenactis crassa","massive","common","Fungiidae","Fungiidae","spawner","uncommon","common","massive","broad",NA,0.018,216507,20,4.24572660394845,462,9.41148,70.0792380952381,189.322320316846,111,5.35757834652061,59.1605382606808,816.749933757518,25.2090667248,380,4.97750000000001,659.549347748571,538686.88608346,3681624.22723995,24282128577314459648,"Ctenactis","Massive"
"94",94,99,99,"Ctenactis echinata","massive","common","Fungiidae","Fungiidae","spawner","uncommon","uncommon","submassive","exposed",NA,0.057,219215,24,2.75,328,8.63123966666666,27.2705714285714,160.174377444426,9,2.68032185875332,40.0859729957415,791.443062631809,36.3809837364,380,4.97750000000001,235.378837846952,186288.948304308,11658476.7195932,27441587013235924992,"Ctenactis","Massive"
"95",95,100,100,"Cycloseris curvata","massive","rare","Fungiidae","Fungiidae",NA,"common","common","massive","broad",NA,0.013,201764,38.75,1,409.976603513598,5.86701266666667,102.883666666667,500,10.9,3.7,9.9809849781749,681.7799544204,34.465713032,380,4.97750000000001,603.619775526447,411535.863045673,2658950.83078441,16049953036139452416,"Cycloseris","Massive"
"96",96,101,101,"Cycloseris explanulata","laminar","common","Fungiidae","Siderastreidae",NA,"uncommon","common","massive","broad",NA,0.007,214628,41,0,355.781603513598,5.06863933333334,44.4152380952381,371.635307489464,12.9,2,14.6532696706352,766.136191506099,35.71679331,380,4.97750000000001,225.124822808889,172476.274360288,1431742.75503776,3223208340357862912,"Cycloseris","Laminar"
"97",97,102,102,"Cyphastrea agassizi","massive","uncommon","Merulinidae","Faviidae",NA,"common","common","massive","protected",NA,0.015,177588,30,8.5,438.28469993895,7.62657933333333,35.131,153.124831269348,5.7,2.3,63.9293890490939,934.848665677496,35.2579166228,380,4.97750000000001,267.929358559333,250473.40334502,3068020.18936662,8220126813840819200,"Cyphastrea","Massive"
"98",98,103,103,"Cyphastrea chalcidicum","massive","common","Merulinidae","Faviidae","spawner","common","uncommon","massive","broad",NA,0.058,234776,57,5,810,15.673715,44.1505714285714,50,4.2,6.1,52.9085052769484,943.284289386066,26.98828273,380,4.97750000000001,692.003473658571,652756.004902714,11863011.3988843,82092450960791601152,"Cyphastrea","Massive"
"99",99,104,104,"Cyphastrea japonica","submassive","uncommon","Merulinidae","Faviidae",NA,NA,"common","laminar","broad",NA,0.03,81378,40,3,454.91364379085,10.092605,42.498,117.775662570301,4.2,2.5,49.0692747212112,884.234923426077,35.5219844864,380,4.97750000000001,428.91552729,379262.088429529,6136040.37873325,2.6318429945171e+19,"Cyphastrea","Other"
"100",100,105,105,"Cyphastrea microphthalma","massive","common","Merulinidae","Faviidae","spawner","common","uncommon","laminar","protected",NA,0.071,242521,30,1,241,7.01848433333334,90.7903333333334,513.377133597884,2.4,20,20.1224558969776,673.34433071183,30.5176633744,380,4.97750000000001,637.210532118112,429062.099271599,14521962.2296687,92535472797663166464,"Cyphastrea","Massive"
"101",101,106,106,"Cyphastrea serailia","massive","common","Merulinidae","Faviidae","spawner","common","common","encrusting","protected",NA,0.14,243460,35,0,360,6.92755433333334,75.7562380952381,407.817619388663,3.4,8,21,690.21557812897,28.8584189988,380,4.97750000000001,524.805455493699,362228.900868821,28634855.1007551,1.50277281741478e+20,"Cyphastrea","Massive"
"102",102,107,107,"Danafungia scruposa","massive","common","Fungiidae","Fungiidae","spawner","common","common","laminar","protected",NA,0.01,158498,40,3,494.650921568627,12.4554683333333,40.296,60,8.9,2.77339429625494,55.4556890531788,934.848665677496,30.3067714812,380,4.97750000000001,501.905551959999,469205.735545932,2045346.79291108,10265709110456494080,"Danafungia","Massive"
"103",103,108,108,"Diploastrea heliopora","massive","uncommon","Diploastraeidae","Faviidae","spawner","common","uncommon","submassive","broad",NA,0.248,226503,25,2,350,8.260721,87.3720000000001,533.333333333333,4.6,7.5,14.1366666666667,723.958072963249,30.781731238,380,4.97750000000001,721.755715212001,522520.876735092,50724600.4641948,3.66107702868779e+20,"Diploastrea","Massive"
"104",104,109,109,"Echinophyllia aspera","laminar","common","Lobophyllidae","Pectiniidae","spawner","rare","uncommon","encrusting_long_uprights","protected",NA,0.051,242762,35,3,388.5,7.508998,45.1252380952381,270.620101564297,25,7.5,27.1292444775369,816.749933757518,29.922731988,380,4.97750000000001,338.845322606667,276751.89479304,10431268.6438465,35345865888209776640,"Echinophyllia","Laminar"
"105",105,110,110,"Echinophyllia echinata","laminar","uncommon","Lobophyllidae","Pectiniidae",NA,"uncommon","common","laminar","broad",NA,0.055,235717,15,1,357.73435071547,7.736408,74.4786666666667,363.440282325439,19,8,27.8682344778499,639.60183587755,30.8244022928,380,4.97750000000001,576.197352629334,368536.884569506,11249407.361011,64818787400634802176,"Echinophyllia","Laminar"
"106",106,111,111,"Echinophyllia echinoporoides","encrusting","common","Lobophyllidae","Pectiniidae",NA,"common","common","encrusting_long_uprights","protected",NA,0.059,129870,15,1,342.615849341844,8.19253133333333,112.020333333333,588.477125936313,30,13.2,29.5343036418444,622.73058846041,36.2102995172,380,4.97750000000001,917.730090803775,571498.59949406,12067546.0781754,1.10747501581026e+20,"Echinophyllia","Encrusting"
"107",107,112,112,"Echinopora gemmacea","laminar","common","Merulinidae","Faviidae","spawner","uncommon","common","laminar","broad",NA,0.218,240150,35,2,100,7.147423,41.8689047619047,251.850808522808,15,10.8,26.7101901512382,791.443062631809,31.7180310628,380,4.97750000000001,299.254772880047,236843.113955371,44588560.0854616,1.33433394214231e+20,"Echinopora","Laminar"
"108",108,113,113,"Echinopora hirsutissima","submassive","uncommon","Merulinidae","Faviidae",NA,"common","common","massive","broad",NA,0.083,209712,27.5,3,331.819050080638,8.67033766666666,33.4392380952381,138.116110065606,12.5,3.3,42.2203712975622,842.056804883228,40.9585943004,380,4.97750000000001,289.929485601778,244137.096287271,16976378.381162,49219526514314428416,"Echinopora","Other"
"109",109,114,114,"Echinopora horrida","encrusting_long_uprights","uncommon","Merulinidae","Faviidae","spawner","common","common","massive","broad",NA,0.11,175980,30,2,411.251163865546,9.53578366666666,41.957,50,18.8,3.8,51.1826147009379,909.541794551787,36.4156132564,380,4.97750000000001,400.092875302333,363901.191789868,22498814.7220219,9.0016154730282e+19,"Echinopora","Other"
"110",110,115,115,"Echinopora lamellosa","laminar","common","Merulinidae","Faviidae","spawner","common","uncommon","massive","protected",NA,0.515,241121,26.6666666666667,0,415,6.58674133333334,53.8979047619048,300,18.8,12.5,26.2530543378964,757.700567797529,32.6623724224,380,4.97750000000001,355.011557075302,268992.458370641,105335359.834921,3.73952701100825e+20,"Echinopora","Laminar"
"111",111,116,116,"Echinopora mammiformis","encrusting_long_uprights","common","Merulinidae","Faviidae",NA,"common","common","massive","broad",NA,0.362,175341,20,3,413.305428571429,11.36889,70.3343333333334,30,16.8,3.4,56.8872445573805,842.056804883227,34.0841369196,380,4.97750000000001,799.623298890001,673328.2401735,74041553.9033812,5.92053515871635e+20,"Echinopora","Other"
"112",112,117,117,"Echinopora pacificus","laminar","common","Merulinidae","Faviidae","spawner","uncommon","common","massive","broad",NA,0.113,159858,27.5,5.5,493.129623015873,9.173745,46.674,144.596766651156,5.2,5.8,67.8739170004562,934.848665677496,32.5182761884,380,4.97750000000001,428.17537413,400279.177181393,23112418.7598952,98961685495673602048,"Echinopora","Laminar"
"113",113,118,118,"Euphyllia cristata","massive","common","Euphylliidae","Euphyllidae",NA,"common","uncommon","massive","broad",NA,0.01,181617,20,0,368.986063595981,6.86767933333333,74.3066666666667,266.666666666667,8.5,4.7,35.8097639137547,631.16621216898,36.3463542164,380,4.97750000000001,510.314358995555,322093.180982666,2045346.79291108,10437698375480320000,"Euphyllia","Massive"
"114",114,119,119,"Euphyllia glabrescens","massive","common","Euphylliidae","Euphyllidae","brooder","common","uncommon","massive","broad",NA,0.007,229243,55,3.5,405.373093858049,8.593947,20.8672380952381,164.98779443549,17.5,1.4,35.4289643705664,833.621181174658,35.0791908688,380,4.97750000000001,179.331938226857,149494.902167013,1431742.75503776,2567572033031816192,"Euphyllia","Massive"
"115",115,120,120,"Euphyllia paraancora","massive","uncommon","Euphylliidae","Euphyllidae","spawner",NA,"uncommon","massive","broad",NA,0.05,102545,20,1,352.907719763089,7.58322133333333,73.179,311.950038453112,158,2.5,28.4475799162835,639.60183587755,37.1973119316,380,4.97750000000001,554.932553952,354935.880295917,10226733.9645554,56751475975383900160,"Euphyllia","Massive"
"116",116,121,121,"Favites abdita","massive","common","Merulinidae","Faviidae","spawner","uncommon","uncommon","submassive","exposed",NA,0.281,242940,45,0,279,9.849215,131.354,1500,3.7,4,1.27,707.08682554611,29.0371447528,380,4.97750000000001,1293.73378711,914782.116629357,57474244.8808014,7.43563724909267e+20,"Favites","Massive"
"117",117,122,122,"Favites chinensis","massive","common","Merulinidae","Faviidae","spawner","common","uncommon","submassive","broad",NA,0.071,228489,20,9,140,8.290598,64.9732380952381,187.850198001253,10.7,4.3,46.7306498589078,707.08682554611,28.6209391204,380,4.97750000000001,538.666997805905,380884.337505031,14521962.2296687,78225017965063847936,"Favites","Massive"
"118",118,123,123,"Favites complanata","massive","uncommon","Merulinidae","Faviidae","spawner","uncommon","uncommon","massive","broad",NA,0.048,240802,50,1.25,443,10.2726326666667,51.4772380952381,247.571306245687,7.6,5,25.389118068957,808.314310048949,32.6116598328,380,4.97750000000001,528.806757646922,427442.069456594,9817664.60597319,51916473879496286208,"Favites","Massive"
"119",119,124,124,"Favites flexuosa","massive","uncommon","Merulinidae","Faviidae","spawner","common","common","massive","broad",NA,0.078,239267,35,5,390.474351064866,9.15387933333333,33.4342380952381,124.736552116743,5,3.5,39.3195718193172,825.185557466088,33.10516604,380,4.97750000000001,306.052981125746,252550.499844407,15953704.9847064,48826789705700671488,"Favites","Massive"
"120",120,125,125,"Favites halicora","massive","uncommon","Merulinidae","Faviidae","spawner","uncommon","common","submassive","protected",NA,0.133,225308,19.25,3.55852438557528,545,9.10049833333333,75.5612380952382,144.937577823421,5,2.7,50.4491726917227,749.264944088959,27.7192688156,380,4.97750000000001,687.644921350318,515228.233548603,27203112.3457174,1.87060820494547e+20,"Favites","Massive"
"121",121,126,126,"Favites micropentagonus",NA,NA,NA,"Faviidae",NA,NA,"common","massive","protected",NA,0.033,73434,20,0,381.745355262647,8.73440466666666,75.9523333333334,300,7.5,3.2,30.9987479539819,639.60183587755,36.3036831616,380,4.97750000000001,663.398414710889,424310.843967341,6749644.41660657,4.477703405839e+19,"Favites","Other"
"122",122,127,127,"Favites pentagona","submassive","uncommon","Merulinidae","Faviidae","spawner","common","rare","encrusting","protected",NA,0.058,231329,25,0,369.453602970277,5.75519766666667,83.0056666666667,500,5.9,1.7,13.2666732785439,656.47308329469,29.4372673156,380,4.97750000000001,477.714019120112,313606.395064878,11863011.3988843,56671268542287216640,"Favites","Other"
"123",123,128,128,"Favites vasta","massive","uncommon","Merulinidae","Faviidae",NA,NA,"uncommon","massive","protected",NA,0.027,72578,30,1,353.542584992087,5.77880466666667,42.8986666666666,288.848149564223,15,2.4,27.6844880809077,766.136191506099,37.9122149476,380,4.97750000000001,247.903015127111,189927.471872364,5522436.34085992,1.3690286197467e+19,"Favites","Massive"
"124",124,129,129,"Fungia fungites","massive","common","Fungiidae","Fungiidae","spawner","common","common","massive","broad",NA,0.077,236614,15,4.25,497.362452380952,10.6668583333333,75.0726666666667,45,6.5,3.0011097616596,62.9,867.363676008937,24.5714642836,380,4.97750000000001,800.789500038887,694575.724463088,15749170.3054153,1.26117702149008e+20,"Fungia","Massive"
"125",125,130,130,"Galaxea astreata","submassive","common","Euphylliidae","Oculinidae","spawner","rare","uncommon","massive","broad",NA,0.035,229360,15,1,380.106347020889,5.435211,107.360666666667,600,3.7,1.5,17.6389241630496,664.90870700326,30.6110470188,380,4.97750000000001,583.527876434002,387992.76582009,7158713.77518879,41773090472347525120,"Galaxea","Other"
"126",126,131,131,"Galaxea fascicularis","massive","common","Euphylliidae","Oculinidae","spawner","uncommon","uncommon","submassive","broad",NA,0.382,240028,35,2,420,6.12916266666667,35.4789047619047,100,4.7,2.2,27.8492390183635,867.363676008937,33.8627401108,380,4.97750000000001,217.455978520889,188613.416899998,78132247.4892033,1.6990324331801e+20,"Galaxea","Massive"
"127",127,132,132,"Galaxea longisepta","encrusting","rare","Euphylliidae","Oculinidae",NA,"uncommon","common","submassive","broad",NA,0.087,130240,14,3,412.731418974,7.413271,67.5763333333334,200,3.7,2.4,49.4547173227518,681.7799544204,32.9771528756,380,4.97750000000001,500.961672186334,341545.626029566,17794517.0983264,8.9143710413259e+19,"Galaxea","Encrusting"
"128",128,133,133,"Gardineroseris planulata","massive","uncommon","Agariciidae","Agariciidae","spawner","common","common","massive","exposed",NA,0.064,244599,15,5,389,8.505651,83.7536666666667,222.093277262601,4.6,3,41.5,681.7799544204,28.8077064092,380,4.97750000000001,712.379458637,485686.034839563,13090219.4746309,93252034627770744832,"Gardineroseris","Massive"
"129",129,134,134,"Goniastrea edwardsi","massive","common","Merulinidae","Faviidae","spawner","uncommon","common","columnar","protected",NA,0.106,227122,39,1.25,568,7.61393833333334,130.271,625,2.5,3.6,0.37,740.829320380389,27.956748694,380,4.97750000000001,991.875360621667,734810.349311403,21680676.0048575,2.15045283308396e+20,"Goniastrea","Massive"
"130",130,135,135,"Goniastrea favulus","massive","uncommon","Merulinidae","Faviidae","spawner","uncommon","common","columnar","protected",NA,0.072,195682,25,0.5,365.414884868934,7.27643433333333,50,261.94840642772,2.4,5,24,740.829320380389,38.184324346,380,4.97750000000001,363.821716666666,269529.795097793,14726496.9089598,5.3578193859041e+19,"Goniastrea","Massive"
"131",131,136,136,"Goniastrea minuta","submassive","uncommon","Merulinidae","Faviidae","spawner",NA,"uncommon","encrusting","protected",NA,0.027,111785,25,1,379.398313440363,8.48920766666666,56.6446666666667,263.037457518731,3.1,4.7,28.5256043644168,740.829320380389,39.3073914596,380,4.97750000000001,480.868338542444,356241.364434846,5522436.34085992,26555647879357239296,"Goniastrea","Other"
"132",132,137,137,"Goniastrea pectinata","submassive","common","Merulinidae","Faviidae","spawner","uncommon","common","columnar","protected",NA,0.093,236447,40,0.5,358.404150629318,5.51621600000001,35.3495714285714,267.093112571343,4.8,1,20.4878162845266,774.571815214669,29.6159930696,380,4.97750000000001,194.995871507429,151038.306152875,19021725.1740731,37091578778931855360,"Goniastrea","Other"
"133",133,139,139,"Goniastrea retiformis","massive","common","Merulinidae","Faviidae","spawner","uncommon","uncommon","encrusting","broad",NA,0.332,228657,45,3,707,45.818,4.1,80,7.2,2.5,80.6333333333333,1036.07615018033,27.95117054,380,4.97750000000001,187.8538,194630.841900746,67905513.5246479,1.27563087565565e+20,"Goniastrea","Massive"
"134",134,140,140,"Goniastrea retiformis","massive","common","Merulinidae","Faviidae","spawner","uncommon","uncommon","encrusting","broad",NA,0.332,228657,45,3,707,4.966,4.1,80,7.2,2.5,80.6333333333333,1019.20490276319,27.95117054,380,4.97750000000001,20.3606,20751.6233432002,67905513.5246479,13825969986699462656,"Goniastrea","Massive"
"135",135,141,141,"Goniopora columna","columnar","common","Poritidae","Poritidae","spawner","common","uncommon","encrusting","protected",NA,0.196,231108,40,30,361.98989974061,6.310853,61.1349047619048,155.742899898697,8,1.8,31.572420149524,698.65120183754,32.7050434772,380,4.97750000000001,385.813397121381,269548.993583877,40088797.1410572,1.54667950115012e+20,"Goniopora","Other"
"136",136,142,142,"Goniopora djiboutiensis","columnar","common","Poritidae","Poritidae","spawner","uncommon","common","massive","protected",NA,0.066,213416,25,1.5,356.063311721322,6.04837733333333,36.7259047619047,201.452730375714,6.7,1.8,31.1482631453013,732.39369667182,38.720501608,380,4.97750000000001,222.132129908063,162688.171772951,13499288.8332131,29986257807657566208,"Goniopora","Other"
"137",137,143,143,"Goniopora fruticosa","encrusting","uncommon","Poritidae","Poritidae",NA,"uncommon","common","massive","broad",NA,0.047,145600,42.5,5,512.373111111111,8.60229166666666,41.4916666666666,127.10051383312,1.6,2,65.7225209920528,926.413041968926,33.0117823956,380,4.97750000000001,356.923418402777,330658.509792464,9613129.92668208,3.4311511949814e+19,"Goniopora","Encrusting"
"138",138,144,144,"Goniopora lobata","columnar","common","Poritidae","Poritidae","spawner","uncommon","common","submassive","protected",NA,0.023,229509,32.5,0,306,5.09656933333334,30.6039047619047,240.750837535424,1.4,1.8,19.5841328019926,791.443062631809,31.4112921444,380,4.97750000000001,155.974922489778,123445.270349069,4704297.62369549,7337524572247508992,"Goniopora","Other"
"139",139,145,145,"Goniopora minor","encrusting","common","Poritidae","Poritidae","spawner","uncommon","common","massive","protected",NA,0.055,234762,30,1,380.16248010703,7.325266,40.1262380952381,262.781134258343,2.8,5.4,17.2163691085016,766.136191506099,31.9047983516,380,4.97750000000001,293.935367626952,225194.523102658,11249407.361011,33065986882441080832,"Goniopora","Encrusting"
"140",140,146,146,"Goniopora norfolkensis","encrusting","uncommon","Poritidae","Poritidae","spawner","common","uncommon","columnar","protected",NA,0.035,135963,40,1.5,313.5,8.21922766666666,45.9823333333333,234.570771658797,4.2,3.5,28.0501118867644,774.571815214669,37.8695438928,380,4.97750000000001,377.939266311222,292741.103547583,7158713.77518879,27055590319268892672,"Goniopora","Encrusting"
"141",141,147,147,"Goniopora somaliensis","encrusting","uncommon","Poritidae","Poritidae",NA,"uncommon","common","branching_closed","protected",NA,0.101,240374,25,2,437.736938092781,8.86051833333333,43.7939047619047,50,4.1,2.6,33.9639599559469,867.363676008937,37.146599342,380,4.97750000000001,388.03669603111,336568.935095906,20658002.6084019,80160630787663249408,"Goniopora","Encrusting"
"142",142,148,148,"Goniopora tenuidens","massive","common","Poritidae","Poritidae","spawner","rare","common","branching_open","exposed",NA,0.028,228762,25.25,6,327.397489165246,9.09075966666666,32.7919047619047,151.201100325347,9.79828715499448,3.36968690288338,45.4838010627227,833.621181174658,33.0117823956,380,4.97750000000001,298.103325202698,248505.246067566,5726971.02015103,17072291044465096704,"Goniopora","Massive"
"143",143,149,149,"Halomitra pileus","massive","common","Fungiidae","Fungiidae","spawner","common","common","branching_open","broad",NA,0.034,195747,20,0,329.271166344286,5.18574933333334,68.2353333333334,333.333333333333,10,1.4,17.9354154735453,631.16621216898,35.1379449932,380,4.97750000000001,353.851334343112,223339.006368281,6954179.09589768,24607455523443703808,"Halomitra","Massive"
"144",144,150,150,"Hydnophora exesa","submassive","common","Merulinidae","Merulinidae","spawner","common","rare","encrusting","broad",NA,0.106,233703,20,0,261,6.769887,64.5805714285715,50,9.2,1.6,37.1801949214593,707.08682554611,33.8707816456,380,4.97750000000001,437.203170966858,309140.602277649,21680676.0048575,94788602980287692800,"Hydnophora","Other"
"145",145,151,151,"Hydnophora microconos","massive","common","Merulinidae","Merulinidae","spawner","common","uncommon","encrusting","protected",NA,0.112,239622,20,0.75,376.830062120604,5.91800766666667,93.7766666666667,365.721046316879,6.3,1.9,7.75,631.16621216898,28.2288580924,380,4.97750000000001,554.971032287778,350278.964312586,22907884.0806041,1.27132120757416e+20,"Hydnophora","Massive"
"146",146,152,152,"Hydnophora pilosa","columnar","uncommon","Merulinidae","Merulinidae","spawner","rare","uncommon","massive","broad",NA,0.152,167600,40,1.33333333333333,395,7.92028433333333,47.2253333333333,219.10067256747,3.5,3.8,36.769340722435,774.571815214669,38.1416532912,380,4.97750000000001,374.038067736444,289719.345086005,31089271.2522484,1.16285709465252e+20,"Hydnophora","Other"
"147",147,153,153,"Hydnophora rigida","branching_closed","common","Merulinidae","Merulinidae","spawner","rare","common","encrusting","broad",NA,0.138,206824,23,2,347.053891485684,5.265321,69.957,344.670546134574,4,2.3,2.43239285714286,656.47308329469,37.6988596736,380,4.97750000000001,368.346061197,241809.274513449,28225785.7421729,1.03968570023198e+20,"Hydnophora","Branching"
