"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"216","Anacropora matthai","branching_closed","rare","Acroporidae","Acroporidae",NA,0.068,NA,NA,NA,NA,NA,NA,NA,0.5,0.6
"217","Anacropora pillai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6
"218","Anacropora puertogalerae","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.023,NA,NA,NA,NA,NA,NA,NA,0.5,0.8
"219","Anacropora reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
"220","Anacropora spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9
"221","Anacropora spumosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.7
"222","Anomastraea irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.4
"223","Astrangia poculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Astreopora cucullata","massive","rare","Acroporidae","Acroporidae",NA,0.054,NA,NA,NA,NA,NA,NA,NA,1.8,2.3
"225","Astreopora expansa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.3
"226","Astreopora gracilis","massive","uncommon","Acroporidae","Acroporidae","spawner",0.058,NA,NA,NA,NA,NA,NA,NA,1.4,1.6
"227","Astreopora incrustans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.7,0.9
"228","Astreopora listeri","massive","common","Acroporidae","Acroporidae","spawner",0.047,NA,NA,NA,NA,NA,NA,NA,1.3,1.6
"229","Astreopora macrostoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.5
"230","Astreopora moretonensis","laminar","rare","Acroporidae","Acroporidae",NA,0.03,NA,NA,NA,NA,NA,NA,NA,2.1,2.5
"231","Astreopora myriophthalma","massive","common","Acroporidae","Acroporidae","spawner",0.122,7.75,NA,NA,NA,NA,NA,NA,2.1,2.3
"232","Astreopora ocellata","massive","rare","Acroporidae","Acroporidae",NA,0.079,NA,NA,NA,NA,NA,NA,NA,1.1,2.5
"233","Astreopora randalli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.5
"234","Astreopora scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.5
"235","Astreopora suggesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.6
"236","Australogyra zelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,5,7.2
"237","Parascolymia rowleyensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,13.4
"238","Balanophyllia europaea",NA,NA,NA,NA,NA,NA,1.16166666666667,NA,NA,NA,NA,NA,2,1.4,2.2
"239","Dipsastraea amicorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13.2
"240","Dipsastraea laddi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6.8
"241","Blastomussa merleti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,6
"242","Blastomussa wellsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,18.9
"243","Boninastrea boninensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,6.5
"244","Cantharellus doederleini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51.2,53.3
"245","Cantharellus jebbi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20
"246","Cantharellus noumeae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,200
"247","Catalaphyllia jardinei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12.3,21.3
"248","Caulastraea connata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,27.5
"249","Caulastraea curvata",NA,NA,NA,"Faviidae",NA,0.01,NA,NA,NA,NA,NA,NA,100,7.8,13.9
"250","Caulastraea echinulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,13.8
"251","Caulastraea furcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,7.2,12.8
"252","Caulastraea tumida",NA,NA,NA,"Faviidae",NA,0.01,NA,NA,NA,NA,NA,NA,100,15,25
"253","Cladocora arbuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.9
"254","Cladocora caespitosa",NA,NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,50,2.6,4.5
"255","Coeloseris mayeri","massive","common","Agariciidae","Agariciidae",NA,0.348,NA,NA,NA,NA,NA,NA,NA,8.1,11.9
"256","Colpophyllia natans",NA,NA,NA,NA,NA,NA,8.63931034482759,NA,NA,NA,NA,NA,134.915,8.7,12.9
"257","Coscinaraea columna","massive","common","Coscinaraeidae","Siderastreidae","spawner",0.107,NA,NA,NA,NA,NA,NA,NA,3.5,6
"258","Coscinaraea crassa","encrusting","rare","Coscinaraeidae","Siderastreidae",NA,0.08,NA,NA,NA,NA,NA,NA,NA,8.6,14.3
"259","Coscinaraea exesa","columnar","common","Coscinaraeidae","Siderastreidae",NA,0.159,NA,NA,NA,NA,NA,NA,NA,2.6,6.1
"260","Coscinaraea marshae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.3
"261","Coscinaraea mcneilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,5.8
"262","Coscinaraea monile","massive","common","Coscinaraeidae","Siderastreidae",NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,50
"263","Cycloseris wellsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5
"264","Ctenactis albitentaculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260
"265","Ctenactis crassa","massive","common","Fungiidae","Fungiidae","spawner",0.018,NA,NA,NA,NA,NA,NA,NA,NA,236
"266","Ctenactis echinata","massive","common","Fungiidae","Fungiidae","spawner",0.057,NA,NA,NA,NA,NA,NA,NA,NA,284
"267","Ctenella chagius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Cynarina lacrymalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"269","Cyphastrea agassizi","massive","uncommon","Merulinidae","Faviidae",NA,0.015,NA,NA,NA,NA,NA,NA,NA,1.4,2.2
"270","Cyphastrea chalcidicum","massive","common","Merulinidae","Faviidae","spawner",0.058,NA,NA,NA,NA,NA,NA,100,1.6,2.8
"271","Cyphastrea decadia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.8
"272","Cyphastrea hexasepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1
"273","Cyphastrea japonica","submassive","uncommon","Merulinidae","Faviidae",NA,0.03,NA,NA,NA,NA,NA,NA,NA,1.5,1.9
"274","Cyphastrea microphthalma","massive","common","Merulinidae","Faviidae","spawner",0.071,NA,NA,NA,NA,NA,NA,NA,1.6,2.7
"275","Cyphastrea ocellina",NA,NA,NA,NA,NA,NA,3.255,NA,NA,NA,NA,NA,NA,1.9,2.5
"276","Cyphastrea serailia","massive","common","Merulinidae","Faviidae","spawner",0.14,5.9,NA,NA,NA,NA,NA,NA,1.4,2.4
"277","Dendrogyra cylindrus",NA,NA,NA,NA,NA,NA,19.125,NA,NA,NA,NA,NA,200,2.3,4.2
"278","Dichocoenia stokesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.395,4.7,11.2
"279","Diploastrea heliopora","massive","uncommon","Diploastraeidae","Faviidae","spawner",0.248,2.43239285714286,NA,NA,NA,NA,NA,633.333333333333,7,9
"280","Pseudodiploria clivosa",NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,35.1333333333333,4.5,5.8
"281","Diploria labyrinthiformis",NA,NA,NA,NA,NA,NA,4.08678571428571,NA,NA,NA,NA,NA,32.33,4.3,5.8
"282","Pseudodiploria strigosa",NA,NA,NA,NA,NA,NA,5.0325,NA,NA,NA,NA,NA,69.8566666666667,5.1,10.1
"283","Duncanopsammia axifuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,10.5
"284","Echinomorpha nishihirai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.5
"285","Echinophyllia aspera","laminar","common","Lobophyllidae","Pectiniidae","spawner",0.051,NA,NA,NA,NA,NA,NA,NA,8.8,10.9
"286","Echinophyllia costata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,3.8,6
"287","Echinophyllia echinata","laminar","uncommon","Lobophyllidae","Pectiniidae",NA,0.055,NA,NA,NA,NA,NA,NA,NA,12,12.9
"288","Echinophyllia echinoporoides","encrusting","common","Lobophyllidae","Pectiniidae",NA,0.059,NA,NA,NA,NA,NA,NA,NA,2.5,5.7
"289","Echinophyllia orpheensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,10,10.1
"290","Echinophyllia patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,7
"291","Echinophyllia pectinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,14.5
"292","Echinopora ashmorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,4.4,5.1
"293","Echinopora forskaliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,5.8
"294","Echinopora fruticulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,3.7,4.8
"295","Echinopora gemmacea","laminar","common","Merulinidae","Faviidae","spawner",0.218,NA,NA,NA,NA,NA,NA,NA,3,4.2
"296","Echinopora hirsutissima","submassive","uncommon","Merulinidae","Faviidae",NA,0.083,NA,NA,NA,NA,NA,NA,NA,3.7,4.2
"297","Echinopora horrida","encrusting_long_uprights","uncommon","Merulinidae","Faviidae","spawner",0.11,NA,NA,NA,NA,NA,NA,500,2,2.4
"298","Echinopora irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,4.2
"299","Echinopora lamellosa","laminar","common","Merulinidae","Faviidae","spawner",0.515,NA,NA,NA,NA,NA,NA,500,2.3,3.4
"300","Echinopora mammiformis","encrusting_long_uprights","common","Merulinidae","Faviidae",NA,0.362,NA,NA,NA,NA,NA,NA,500,6.1,8.9
"301","Echinopora pacificus","laminar","common","Merulinidae","Faviidae","spawner",0.113,NA,NA,NA,NA,NA,NA,NA,2.5,4.6
"302","Echinopora robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,8.6
"303","Echinopora taylorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,5
"304","Echinopora tiranensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.5
"305","Erythrastrea flabellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,14
"306","Euphyllia ancora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16,45
"307","Euphyllia cristata","massive","common","Euphylliidae","Euphyllidae",NA,0.01,NA,NA,NA,NA,NA,NA,12,20,25
"308","Euphyllia divisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,22
"309","Euphyllia glabrescens","massive","common","Euphylliidae","Euphyllidae","brooder",0.007,NA,NA,NA,NA,NA,NA,NA,8,19
"310","Euphyllia paraancora","massive","uncommon","Euphylliidae","Euphyllidae","spawner",0.05,NA,NA,NA,NA,NA,NA,NA,29,30
"311","Euphyllia paradivisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,45
"312","Euphyllia paraglabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"313","Euphyllia yaeyamaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2
"314","Eusmilia fastigiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.955,18.1,20.9
"315","Dipsastraea albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,12.1
"316","Dipsastraea danai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,9.2
"317","Favia fragum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18,4.2,5.8
"318","Dipsastraea helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,9
"319","Dipsastraea lacuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5.9,9.8
"320","Dipsastraea laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5.8
"321","Mussismilia leptophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5,10.2
"322","Dipsastraea lizardensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,16.7
"323","Dipsastraea maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,18.8
"324","Dipsastraea marshae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,12.5,19.3
"325","Dipsastraea matthaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,13.8
"326","Dipsastraea maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,29
"327","Dipsastraea pallida",NA,NA,NA,NA,NA,NA,4.53333333333333,NA,NA,NA,NA,NA,NA,6.8,10.2
"328","Dipsastraea rosaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,6.1,9.3
"329","Dipsastraea rotumana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,14.2
"330","Favites rotundata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,21.2
"331","Dipsastraea speciosa",NA,NA,NA,NA,NA,NA,6.37857142857143,NA,NA,NA,NA,NA,75,7.5,9.9
"332","Goniastrea stelligera",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3.2,5.1
"333","Dipsastraea truncata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10.5
"334","Dipsastraea veroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17.5
"335","Dipsastraea vietnamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,14.1
"336","Favites abdita","massive","common","Merulinidae","Faviidae","spawner",0.281,0.8,NA,NA,NA,NA,NA,100,7.5,15
"337","Favites acuticollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,9.3
"338","Favites melicerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,8.1
"339","Favites chinensis","massive","common","Merulinidae","Faviidae","spawner",0.071,NA,NA,NA,NA,NA,NA,NA,7.5,12.5
"340","Favites complanata","massive","uncommon","Merulinidae","Faviidae","spawner",0.048,NA,NA,NA,NA,NA,NA,NA,8,18.8
"341","Favites flexuosa","massive","uncommon","Merulinidae","Faviidae","spawner",0.078,NA,NA,NA,NA,NA,NA,NA,13.2,18.8
"342","Favites halicora","massive","uncommon","Merulinidae","Faviidae","spawner",0.133,NA,NA,NA,NA,NA,NA,NA,10.8,16.8
"343","Favites micropentagonus",NA,NA,NA,"Faviidae",NA,0.033,NA,NA,NA,NA,NA,NA,50,3.3,5.2
"344","Favites paraflexuosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,10.5,16.2
"345","Favites pentagona","submassive","uncommon","Merulinidae","Faviidae","spawner",0.058,NA,NA,NA,NA,NA,NA,100,3.8,8.5
"346","Paragoniastrea russelli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16
"347","Favites spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,8.2
"348","Favites stylifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.8
"349","Favites vasta","massive","uncommon","Merulinidae","Faviidae",NA,0.027,NA,NA,NA,NA,NA,NA,NA,12.5,17.5
"350","Lithophyllon concinna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,160
"351","Cycloseris costulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73333333333333,70,76
"352","Cycloseris curvata","massive","rare","Fungiidae","Fungiidae",NA,0.013,NA,NA,NA,NA,NA,NA,9,75,81
"353","Cycloseris cyclolites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0333333333333,33.3,35.7
"354","Cycloseris distorta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,40
"355","Cycloseris fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,48
"356","Heliofungia fralinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
"357","Fungia fungites","massive","common","Fungiidae","Fungiidae","spawner",0.077,2,NA,NA,NA,NA,NA,28,NA,158
"358","Pleuractis granulosa",NA,NA,NA,NA,NA,NA,5.72565891472868,NA,NA,NA,NA,NA,13.5,NA,120
"359","Cycloseris hexagonalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,28.1,29
"360","Danafungia horrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,204
"361","Pleuractis moluccensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
"362","Pleuractis paumotensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,235
"363","Lithophyllon repanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,150,150
"364","Lithophyllon scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"365","Danafungia scruposa","massive","common","Fungiidae","Fungiidae","spawner",0.01,NA,NA,NA,NA,NA,NA,24,NA,111
"366","Lobactis scutaria",NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,17,NA,169
"367","Pleuractis seychellensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,88.8
"368","Cycloseris sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,54.8
"369","Cycloseris somervillei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,102.9,135.2
"370","Lithophyllon spinifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,118
"371","Pleuractis taiwanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,193
"372","Cycloseris tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,46.7
"373","Cycloseris vaughani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5
"374","Galaxea acrhelia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,4.7,5.4
"375","Galaxea astreata","submassive","common","Euphylliidae","Oculinidae","spawner",0.035,NA,NA,NA,NA,NA,NA,166.666666666667,3.4,3.7
"376","Galaxea cryptoramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4.2,4.6
"377","Galaxea fascicularis","massive","common","Euphylliidae","Oculinidae","spawner",0.382,NA,NA,NA,NA,NA,NA,500,5.8,10.7
"378","Galaxea horrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,2.5,2.9
"379","Galaxea longisepta","encrusting","rare","Euphylliidae","Oculinidae",NA,0.087,NA,NA,NA,NA,NA,NA,15,4.7,7.6
"380","Galaxea paucisepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.1
"381","Gardineroseris planulata","massive","uncommon","Agariciidae","Agariciidae","spawner",0.064,9.9,NA,NA,NA,NA,NA,NA,1.4,5
"382","Paragoniastrea australensis",NA,NA,NA,NA,NA,NA,3.76666666666667,NA,NA,NA,NA,NA,NA,8.5,10
"383","Goniastrea columella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17.5
"384","Paragoniastrea deformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,8.8
"385","Goniastrea edwardsi","massive","common","Merulinidae","Faviidae","spawner",0.106,9.8625,NA,NA,NA,NA,NA,100,2.5,5
"386","Goniastrea minuta","submassive","uncommon","Merulinidae","Faviidae","spawner",0.027,NA,NA,NA,NA,NA,NA,NA,4.3,5.9
"387","Coelastrea palauensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,18.8
"388","Goniastrea pectinata","submassive","common","Merulinidae","Faviidae","spawner",0.093,NA,NA,NA,NA,NA,NA,NA,5,15
"389","Paramontastraea peresi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12.5
"390","Goniastrea ramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2.5,7.4
"391","Goniastrea thecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,7.7,8.4
"392","Goniopora albiconus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.7,3.2
"393","Goniopora burgosi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.7
"394","Goniopora cellulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4.1
"395","Goniopora ciliatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,2.9,3.8
"396","Goniopora columna","columnar","common","Poritidae","Poritidae","spawner",0.196,NA,NA,NA,NA,NA,NA,NA,2.7,3.7
"397","Goniopora djiboutiensis","columnar","common","Poritidae","Poritidae","spawner",0.066,NA,NA,NA,NA,NA,NA,NA,3.2,4.7
"398","Goniopora eclipsensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.1
"399","Goniopora fruticosa","encrusting","uncommon","Poritidae","Poritidae",NA,0.047,NA,NA,NA,NA,NA,NA,NA,1.7,3.7
"400","Goniopora lobata","columnar","common","Poritidae","Poritidae","spawner",0.023,NA,NA,NA,NA,NA,NA,NA,2.4,4.6
"401","Goniopora minor","encrusting","common","Poritidae","Poritidae","spawner",0.055,NA,NA,NA,NA,NA,NA,NA,1.5,2.5
"402","Goniopora norfolkensis","encrusting","uncommon","Poritidae","Poritidae","spawner",0.035,NA,NA,NA,NA,NA,NA,NA,1.5,2.4
"403","Goniopora palmensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2.4
"404","Goniopora pandoraensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.7
"405","Goniopora pearsoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,2.2,3.3
"406","Goniopora pendulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,5.6
"407","Goniopora planulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.1
"408","Goniopora polyformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,5.9
"409","Goniopora savignyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2.2
"410","Goniopora somaliensis","encrusting","uncommon","Poritidae","Poritidae",NA,0.101,NA,NA,NA,NA,NA,NA,200,2.2,3.1
"411","Goniopora stokesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.7,4.7
"412","Goniopora sultani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7.8
"413","Goniopora tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.9
"414","Goniopora tenuidens","massive","common","Poritidae","Poritidae","spawner",0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Gyrosmilia interrupta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6.3,8.1
"416","Halomitra clavator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,5.3
"417","Halomitra pileus","massive","common","Fungiidae","Fungiidae","spawner",0.034,NA,NA,NA,NA,NA,NA,60,2.4,4.8
"418","Heliofungia actiniformis",NA,NA,NA,NA,NA,NA,5.76,NA,NA,NA,NA,NA,20,NA,142
"419","Herpolitha limax",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,370
"420","Heterocyathus aequicostatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6
"421","Heteropsammia cochlea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
"422","Horastrea indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,13.8
"423","Hydnophora bonsai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,4.5
"424","Hydnophora exesa","submassive","common","Merulinidae","Merulinidae","spawner",0.106,NA,NA,NA,NA,NA,NA,100,3,4.5
"425","Hydnophora grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,4.7
"426","Hydnophora microconos","massive","common","Merulinidae","Merulinidae","spawner",0.112,8.9,NA,NA,NA,NA,NA,NA,3.6,7.2
"427","Hydnophora pilosa","columnar","uncommon","Merulinidae","Merulinidae","spawner",0.152,NA,NA,NA,NA,NA,NA,NA,5,8
"428","Hydnophora rigida","branching_closed","common","Merulinidae","Merulinidae","spawner",0.138,71,NA,NA,NA,NA,NA,NA,4.7,6.7
"429","Indophyllia macassarensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA
"430","Isophyllia rigida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78,9.2,18.2
"431","Isophyllia sinuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,9.2,11.2
"432","Leptastrea aequalis","encrusting","rare","Fungiidae","Faviidae",NA,0.027,NA,NA,NA,NA,NA,NA,20,2.5,2.8
"433","Leptastrea bewickensis","encrusting","uncommon","Fungiidae","Faviidae",NA,0.47,NA,NA,NA,NA,NA,NA,100,1.8,4.2
"434","Leptastrea bottae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.5
