"","Species","X.2","X.1","X","GrowthForm_CTD","LHS_CTD","Abund_CTD","IUCNstatus","MeanPCcover","Range","ReefArea_Range","major_clade","family_molecules","family_morphology","larval","sexual","nominal.species","Lower_bound","Mean","Upper_bound","IUCN_conservation_status","Abundance_GBR","Abundance_world","Coloniality","Depth_lower","Depth_upper","Eastern-most_range_edge","Genus_fossil_age","Growth_form_typical","IUCN_Red_List_category","Life_history_strategy","Mode_of_larval_development","Northern-most_range_edge","Ocean_basin","Oocyte_size_at_maturity","Range_size","Sexual_system","Southern-most_range_edge","Species_age_phylogeny","Substrate_attachment","Water_clarity_preference","Wave_exposure_preference","Western-most_range_edge","Zooxanthellate","Polyp_fecundity","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_form_Wallace","Growth_outline_type","Growth_rate","Nitrogen_concentration","Phosphorus_concentration","Sample_identifier","Calcification_rate","Skeletal_density","Skeletal_micro-density","Symbiodinium_density","Tissue_thickness","Propagule_size_on_release","Symbiodinium_sp._in_propagules","Colony_area","Colony_shape_factor","Distance_from_crest","Polyps_per_area","Ratio_of_female_to_male_gonads","Size_at_maturity","Colony_bleached","Mitotic_index","RNA:DNA_ratio","Chlorophyll_a","Lipid_content","Total_biomass","Protein_biomass","Age_at_maturity","Eggs_per_area","Generation_time","Mesentery_fecundity","Number_of_septa_per_corallite","Dark_respiration","Gross_photosynthesis","Larval_swimming_speed","Dissolved_oxygen_concentration","Distance_from_shore","Downward_flux_of_suspended_particulate_matter","Light_extinction_coefficient","Nitrite-nitrate_concentration","Particulate_organic_matter_concentration","Phosphate_concentration","Salinity","Suspended_particulate_matter_concentration","Individual_identifier","Propagule_age","Rainfall","Sunlight","Colony_surface_area","pre_fecundity"
"70","Acropora subulata",65,66,66,"tables_or_plates","competitive","common","LC",0.283,53940059,220366,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,2.10559499893481,2.40291841766978,2.70458940930001,"Least Concern","rare","common","colonial","22","2","-76.08572611","52.44","corymbose","LC","generalist","spawner","37.4484897","pacific",NA,"81572516.925","hermaphrodite","-34.28650432","0.55112718077608","attached","clear","broad","25.8951254","zooxanthellate",NA,"150","6.6","2","arborescent","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.4795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Acropora suharsonoi",66,67,67,"corymbose",NA,"uncommon","EN",0.04,567434,9046,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.00996201470689538,0.0110249792603205,0.0120863451361399,"Endangered",NA,"common","colonial","20.5","5","-175.77038843","52.44","corymbose","VU",NA,NA,"39.36408913","pacific",NA,"46507145.675",NA,"-33.10720558","1.89841388031004","attached","clear","exposed","31.4793412","zooxanthellate",NA,NA,"3.4","2","arborescent_tables","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Acropora tenuis",67,68,68,"corymbose","competitive","uncommon","NT",0.219,65335974,239811,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,3.13722100194888,3.56678128414683,3.99898458211719,"Near Threatened","rare","common","colonial","35","5","-176.24471854","52.44","branching_closed","LC","stress-tolerant","brooder","28.48792041","pacific",NA,"38125026.395","hermaphrodite","-33.9000708","0.70882642845992","attached","both","exposed","38.5584875","zooxanthellate",NA,NA,"1.5","0.7","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.172",NA,"0.258125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Acropora tortuosa",68,69,69,"branching_closed",NA,"uncommon","LC",0.117,23381383,101322,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.0127797293881145,0.014860260076817,0.0169938614178259,"Least Concern","uncommon","uncommon","colonial","30","3","-137.92034696","57.04","columnar","VU",NA,"spawner","30.46037577","pacific",NA,"53760683.39","hermaphrodite","-34.97788308","1.40923889284036","attached","clear","protected","26.6373866","zooxanthellate",NA,NA,"0.5","0.2","arborescent_tables","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Acropora valenciennesi",69,70,70,"branching_open","competitive","common","LC",0.542,60816206,232515,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.647164373530169,0.738064468260684,0.830116088992661,"Least Concern","uncommon","uncommon","colonial","30","1","154.71799299","57.04","columnar","VU","stress-tolerant","spawner","1.8120594","pacific",NA,"7189811.7295","hermaphrodite","-28.79693406","1.33015461812762","attached","turbid","protected","110.98256211","zooxanthellate",NA,"50","0.6","0.5","tables_or_plates","determinate","7.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Acropora valida",70,71,71,"corymbose","competitive","common","LC",0.548,95367652,245545,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,22.1627128075082,25.150593706913,28.1476472745146,"Least Concern","uncommon","rare","colonial","35","3","-176.56154716","57.04","submassive","VU","stress-tolerant","spawner","23.44510114","pacific","575","21083093.88","hermaphrodite","-33.62145979","1.4581426513847","attached","clear","exposed","94.6337865","zooxanthellate",NA,"500","0.8","0.5","arborescent","indeterminate","20.2166666666667",NA,NA,NA,NA,"1.7","2.873",NA,NA,"390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Acropora verweyi",71,72,72,"corymbose","competitive","common","VU",0.054,52762515,206250,"Complex","Acroporidae","Acroporidae",NA,NA,NA,1.16718074907191,1.33008112514378,1.49379451070484,"Vulnerable","common","uncommon","colonial","25","2","-137.88726828","57.04","columnar","NT","stress-tolerant",NA,"37.83955818","pacific",NA,"60155295.4",NA,"-34.10129805","1.5620975991738","attached","clear","protected","24.1375335","zooxanthellate",NA,NA,"2.3","1.8","arborescent","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Acropora yongei",72,73,73,"branching_closed","competitive","common","LC",0.324,41920954,187258,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,5.79408405371441,6.5990168959653,7.40734336220868,"Least Concern","rare","uncommon","colonial","20","8","-173.89930395","118.7","branching_closed","LC","weedy","spawner","29.77328285","pacific",NA,"35996700.2","hermaphrodite","-29.03788324","2.90225166888166","attached","turbid","broad","33.9069352","zooxanthellate",NA,"125","1.6","1.4","hispidose","indeterminate","79.1929411764706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Alveopora allingi",73,74,74,"columnar",NA,"uncommon","VU",0.01,55897220,226664,"Complex","Acroporidae","Poritidae",NA,NA,NA,0.0370519505163067,0.0421355162802959,0.047093643849636,"Vulnerable","common","rare","colonial","20","5","156.17852844","118.7","branching_closed","VU",NA,NA,"26.65390681","pacific",NA,"10186516.256",NA,"-25.16349899","0.594847814802613","attached","clear","protected","94.0294313","zooxanthellate",NA,NA,"1.6","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Alveopora gigas",74,75,75,"columnar",NA,"uncommon","VU",0.083,4580064,63022,"Complex","Acroporidae","Poritidae","spawner","hermaphrodite",NA,0.148194990207784,0.167837048253702,0.18724879878376,"Vulnerable","uncommon","uncommon","colonial","15","5","-173.46219393","118.7","branching_closed","VU",NA,"spawner","29.83288876","pacific",NA,"23342297.4","gonochore","-25.48139719","0.559199647245106","attached","turbid","broad","93.8704822","zooxanthellate",NA,NA,"2.5","2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Alveopora marionensis",75,76,76,"submassive",NA,"rare","VU",0.01,25531391,164312,"Complex","Acroporidae","Poritidae",NA,NA,NA,0.588340921330123,0.67782046373569,0.764822201126883,"Vulnerable","common","rare","colonial","15","5","-161.382062517","118.7","massive","VU",NA,NA,"31.56146019","pacific",NA,"35291471.735",NA,"-35.19716077","1.16912129623816","attached","clear","broad","31.5226987","zooxanthellate",NA,NA,"2.3","2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Alveopora spongiosa",76,77,77,"columnar",NA,"uncommon","NT",0.016,67077726,235335,"Complex","Acroporidae","Poritidae",NA,NA,NA,0.625344354584278,0.714704938424581,0.802062556327229,"Near Threatened","uncommon","uncommon","colonial","30","5","-173.62114303","118.7","massive","LC",NA,NA,"37.32336498","pacific",NA,"40975475.605",NA,"-35.39584715","1.48757775711056","attached","turbid","broad","31.0061141","zooxanthellate",NA,"100","2.5","1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Anacropora forbesi",77,78,78,"branching_closed",NA,"uncommon","LC",0.307,50771041,191909,"Complex","Acroporidae","Acroporidae",NA,NA,NA,1.07015610105892,1.22356884745729,1.37520509728752,"Least Concern","uncommon","common","colonial","15","2","-168.057924614",NA,"massive","LC",NA,NA,"31.36277382","pacific",NA,"48811556.57",NA,"-33.21029706","0.806483019919856","attached","turbid","broad","31.6021732","zooxanthellate",NA,NA,"13.9","7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Anacropora matthai",78,79,79,"branching_closed",NA,"rare","VU",0.068,8850646,124834,"Complex","Acroporidae","Acroporidae",NA,NA,NA,1.20079336839342,1.34800232100172,1.49771403327409,"Vulnerable","uncommon","rare","colonial","45","2","-176.99881135",NA,"laminar","VU",NA,NA,"19.0640874","pacific",NA,"7156433.208",NA,"-33.07121659","1.26622511109182","attached","clear","exposed","80.1611225","zooxanthellate",NA,NA,"25","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Anacropora puertogalerae",79,80,80,"branching_closed",NA,"uncommon","VU",0.023,29839437,163179,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.0830851824172446,0.0952030251059146,0.107328758677424,"Vulnerable","common","common","colonial","30","5","-105.78961565",NA,"massive","LC",NA,"spawner","39.40957189","pacific",NA,"66095667.475","hermaphrodite","-34.34280938","1.51180986574064","attached","clear","broad","31.6816478","zooxanthellate",NA,NA,"11.9","8.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Astreopora cucullata",80,81,81,"massive",NA,"rare","VU",0.054,38349581,188051,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.589336574040768,0.675316217950579,0.760011775375876,"Vulnerable","common","rare","colonial","20","0","-174.61457489","15.91","massive","LC",NA,NA,"30.36934196","pacific",NA,"36603060",NA,"-35.39584715","1.09118503248742","attached","clear","broad","33.1916642","zooxanthellate",NA,NA,"6","3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Astreopora gracilis",81,82,82,"massive",NA,"uncommon","LC",0.058,41296181,201952,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.44722470698048,1.65116484654823,1.85666120727472,"Least Concern","common","uncommon","colonial","40","2","-176.15397573","30.68","branching_closed","VU",NA,"spawner","26.3907438","pacific","414","26146288.315","hermaphrodite","-28.82786664","0.501378568874119","attached","clear","protected","94.8827075","zooxanthellate",NA,NA,"14.3","8.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Astreopora listeri",82,83,83,"massive",NA,"common","LC",0.047,54005058,213571,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.123139876140146,0.141101801684691,0.158950157399888,"Least Concern","uncommon","common","colonial","5","1","164.10968916","30.68","massive","NT",NA,"spawner","36.88927034","pacific","340","30960745.25","hermaphrodite","-30.97452978","0.523211904375291","attached","both","protected","31.7583974","zooxanthellate",NA,NA,"6.1","2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Astreopora moretonensis",83,84,84,"laminar",NA,"rare","VU",0.03,9494459,73486,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.210823902643906,0.240916111065163,0.27178650908639,"Vulnerable","common","common","colonial","30","5","-174.93842237","30.68","massive","LC",NA,NA,"30.39525335","pacific",NA,"41421693.145",NA,"-32.34622853","4.49196293246376","attached","clear","protected","26.5143368","zooxanthellate",NA,NA,"50","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Astreopora myriophthalma",84,85,85,"massive","stress-tolerant","common","LC",0.122,72319039,240635,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,2.79712749135586,3.18893019850527,3.58511804845346,"Least Concern","common","common","colonial","30","10","-105.44113462","30.68","massive","LC","competitive","spawner","38.68167919","pacific",NA,"68826882.87","gonochore","-34.30604722","1.03411960859402","attached","clear","protected","25.6917469","zooxanthellate",NA,NA,"236","3.4",NA,NA,"2.43239285714286",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Astreopora ocellata",85,86,86,"massive",NA,"rare","LC",0.079,44392804,193925,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.917772040098454,1.04087421048015,1.16640228854587,"Least Concern","rare","rare","colonial","27.5","4.5","176.05317188","15.87","encrusting","NT",NA,NA,"36.50306444","pacific",NA,"25698005.35",NA,"-28.37947258","2.32852380978834","attached","clear","protected","33.3465675","zooxanthellate",NA,NA,"284","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Caulastraea curvata",86,87,87,NA,NA,NA,NA,0.01,27889891,169401,NA,NA,"Faviidae",NA,NA,"Caulastraea curvata",0.159469166752753,0.182188535011055,0.205143510597529,"NA","uncommon","common","colonial","54","5.66666666666667","-137.77704437","15.87","columnar","LC",NA,NA,"27.93367276","pacific",NA,"41231910.82",NA,"-33.80092446","1.03411960859402","attached","clear","protected","94.7313937","zooxanthellate",NA,"100","81","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Caulastraea tumida",87,88,88,NA,NA,NA,NA,0.01,31832835,182154,NA,NA,"Faviidae",NA,NA,"Caulastraea tumida",0.215593806575891,0.242873534631182,0.269865735641355,"NA","uncommon","common","colonial","67","1","140.20163525","107","massive","LC",NA,NA,"36.3281789","pacific",NA,"34792792.315",NA,"-34.32558109","1.22901929198352","attached","clear","broad","23.552977","zooxanthellate",NA,"100","4.5","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Coeloseris mayeri",88,89,89,"massive",NA,"common","LC",0.348,50036509,208830,"Complex","Agariciidae","Agariciidae",NA,NA,NA,11.6483980571053,13.2905662254201,14.9339822635221,"Least Concern","uncommon","common","solitary","20","3","-172.67238418","107","massive","LC",NA,NA,"30.8557498","pacific",NA,"42206804.485",NA,"-30.33323343","2.93439294076261","unattached","clear","protected","31.6484065","zooxanthellate",NA,NA,"2.2","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Coscinaraea columna",89,90,90,"massive",NA,"common","LC",0.107,73997921,243523,"Robust","Coscinaraeidae","Siderastreidae","spawner","gonochore",NA,0.710545571723014,0.816221549915344,0.921931148824113,"Least Concern","uncommon","common","solitary","73","18.3333333333333","-163.731902719","28.8","massive","LC",NA,"spawner","37.15099707","pacific",NA,"47345652.75","gonochore","-30.10767082","2.92180575548807","unattached","clear","protected","31.6073951","zooxanthellate",NA,NA,"2.8","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Coscinaraea crassa",90,91,91,"encrusting",NA,"rare","NT",0.08,29748771,153896,"Robust","Coscinaraeidae","Siderastreidae",NA,NA,NA,0.0138920405780671,0.015640661976587,0.0173875231503721,"Near Threatened","common","rare","solitary","31.6666666666667","3","-75.79061196","28.8","massive","VU",NA,NA,"32.88363321","pacific",NA,"52835880.055",NA,"-33.22310262","1.344088860483","unattached","clear","protected","31.3248906","zooxanthellate",NA,NA,"1.9","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Coscinaraea exesa",91,92,92,"columnar",NA,"common","LC",0.159,39566203,190246,"Robust","Coscinaraeidae","Siderastreidae",NA,NA,NA,0.27953692871192,0.317626582871125,0.356731199996803,"Least Concern","common","common","solitary","20","0","-137.77704437","28.8","laminar","LC",NA,NA,"30.55695593","pacific",NA,"57465195.32",NA,"-29.95344248","1.01828698972737","unattached","clear","protected","30.7232844","zooxanthellate",NA,NA,"2.7","8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Coscinaraea monile",92,93,93,"massive",NA,"common","LC",0.05,33656770,130299,"Robust","Coscinaraeidae","Siderastreidae",NA,NA,NA,0.186611688646804,0.210065338576307,0.233405552015848,"Least Concern",NA,"uncommon","colonial","50","2","-146.94744188","28.8","massive","VU",NA,NA,"30.95677605","pacific",NA,"37328069.175",NA,"-24.872795","3.83592327985357","attached","clear","broad","93.881801","zooxanthellate",NA,NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Ctenactis crassa",93,94,94,"massive",NA,"common","LC",0.018,40883310,216507,"Robust","Fungiidae","Fungiidae","spawner","gonochore",NA,0.148402455953104,0.169391560500886,0.190004907969252,"Least Concern","uncommon","common","colonial","20",NA,"-136.6991628","28.8","massive","LC",NA,"spawner","36.94486411","pacific","462","62656587.07","hermaphrodite","-32.47418847","2.22334790765739","attached","clear","broad","31.0143204","zooxanthellate",NA,NA,"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"575","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Ctenactis echinata",94,95,95,"massive",NA,"common","LC",0.057,47700974,219215,"Robust","Fungiidae","Fungiidae","spawner","gonochore",NA,1.7202491488192,1.96441504059964,2.2044189019492,"Least Concern","uncommon","uncommon","colonial","24","2.75","140.47552991","108.46","submassive","LC",NA,"spawner","37.22690118","pacific","328","12906579.48","hermaphrodite","-11.89838696","1.24054184452876","attached","clear","exposed","93.8824731","zooxanthellate",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Cycloseris curvata",95,96,96,"massive",NA,"rare","VU",0.013,58477188,201764,"Robust","Fungiidae","Fungiidae",NA,NA,NA,0.0269884380563563,0.0307080062463254,0.0343374060158137,"Vulnerable","common","common","colonial","38.75","1","-134.07643731","22.234","massive","LC",NA,NA,"38.25107314","pacific",NA,"70090854.645",NA,"-33.4448351","1.23726331306149","attached","clear","broad","29.7825044","zooxanthellate",NA,"500","10.9","3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Cycloseris explanulata",96,97,97,"laminar",NA,"common",NA,0.007,61805745,214628,"Robust","Fungiidae","Siderastreidae",NA,NA,NA,0.188577476179679,0.215008991294746,0.241703517967181,"NA","uncommon","common","colonial","41","0","-125.67961923","22.234","massive","LC",NA,NA,"38.89698222","pacific",NA,"70540472.315",NA,"-35.59786538","2.22334790765739","attached","clear","broad","28.0600802","zooxanthellate",NA,NA,"12.9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Cyphastrea agassizi",98,99,99,"massive",NA,"uncommon","VU",0.015,53027593,177588,"Robust","Merulinidae","Faviidae",NA,NA,NA,0.336341948602334,0.380028677536872,0.423446239316552,"Vulnerable","common","common","solitary","30","8.5","-133.95763876","22.234","massive","LC",NA,NA,"30.95417712","pacific",NA,"55032857.23",NA,"-32.53144355","1.90942368683598","unattached","clear","protected","31.3859336","zooxanthellate",NA,NA,"5.7","2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Cyphastrea chalcidicum",99,100,100,"massive","stress-tolerant","common","LC",0.058,66681755,234776,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,1.31811476295715,1.49268487080625,1.66572342296263,"Least Concern","common","uncommon","colonial","57","5","-167.191688899","19.714","massive","NT","competitive","spawner","30.8119151","pacific","810","52480043.55","hermaphrodite","-30.63689894","64.5228175051602","attached","clear","broad","31.7583974","zooxanthellate",NA,"50","4.2","6.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
